groupSizeDist,placementDist,placementNumHostsPerLeaf,seed,podsAlgorithm,podsNumBitmaps,podsNumNodesPerBitmap,podsRedundancyPerBitmap,podsNumRules,leafsAlgorithm,leafsNumBitmaps,leafsNumNodesPerBitmap,leafsRedundancyPerBitmap,leafsNumRules,unicastTraffic,multicastTraffic,baseeratTraffic,overlayTrafficCorrected,unicastTraffic64B,multicastTraffic64B,baseeratTraffic64B,overlayTrafficCorrected64B,unicastTraffic512B,multicastTraffic512B,baseeratTraffic512B,overlayTrafficCorrected512B,unicastTraffic1500B,multicastTraffic1500B,baseeratTraffic1500B,overlayTrafficCorrected1500B
uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,10000,2385267270,415953027,460678333,825915054,271920468780,47418645078,53796607360.875,94154316156,1340520205740,233765601174,260180500544.875,464164260348,3697164268500,644727191850,715330693548.875,1280168333700
uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,0,64000,2385267270,415953027,415953036,825915054,271920468780,47418645078,48651933952.875,94154316156,1340520205740,233765601174,234998894080.875,464164260348,3697164268500,644727191850,645960493648.875,1280168333700
uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,6,10000,2385267270,415953027,452639392,825915054,271920468780,47418645078,52915875899.0,94154316156,1340520205740,233765601174,255698323515.0,464164260348,3697164268500,644727191850,702906042811.0,1280168333700
uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,6,64000,2385267270,415953027,418116207,825915054,271920468780,47418645078,48937133021.0,94154316156,1340520205740,233765601174,236253193757.0,464164260348,3697164268500,644727191850,649352006273.0,1280168333700
uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,12,10000,2385267270,415953027,448575312,825915054,271920468780,47418645078,52493421513.625,94154316156,1340520205740,233765601174,253455161289.625,464164260348,3697164268500,644727191850,696647569545.625,1280168333700
uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,10,3,12,64000,2385267270,415953027,424323525,825915054,271920468780,47418645078,49688604471.625,94154316156,1340520205740,233765601174,239785543671.625,464164260348,3697164268500,644727191850,659017186371.625,1280168333700
uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,0,10000,2385267270,415953027,426047579,825915054,271920468780,47418645078,50755367333.0,94154316156,1340520205740,233765601174,241624682725.0,464164260348,3697164268500,644727191850,662559690777.0,1280168333700
uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,0,64000,2385267270,415953027,415953036,825915054,271920468780,47418645078,49567571459.0,94154316156,1340520205740,233765601174,235914531587.0,464164260348,3697164268500,644727191850,646876131155.0,1280168333700
uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,6,10000,2385267270,415953027,422846736,825915054,271920468780,47418645078,50441891601.75,94154316156,1340520205740,233765601174,239877229329.75,464164260348,3697164268500,644727191850,657649804497.75,1280168333700
uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,6,64000,2385267270,415953027,419014848,825915054,271920468780,47418645078,49979897025.75,94154316156,1340520205740,233765601174,237698548929.75,464164260348,3697164268500,644727191850,651685218753.75,1280168333700
uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,12,10000,2385267270,415953027,427738282,825915054,271920468780,47418645078,51043869422.625,94154316156,1340520205740,233765601174,242670619758.625,464164260348,3697164268500,644727191850,665276042374.625,1280168333700
uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,20,3,12,64000,2385267270,415953027,427130975,825915054,271920468780,47418645078,50963484350.625,94154316156,1340520205740,233765601174,242318161150.625,464164260348,3697164268500,644727191850,664323564450.625,1280168333700
uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000,random-fuzzy-match,30,3,0,10000,2385267270,415953027,416125680,825915054,271920468780,47418645078,50451309408.5,94154316156,1340520205740,233765601174,236875614048.5,464164260348,3697164268500,644727191850,648007785888.5,1280168333700
