groupCount,seed
465,1
88,1
160,1
388,1
25,1
152,1
19,1
322,1
708,1
25,1
204,1
133,1
148,1
77,1
181,1
81,1
164,1
23,1
212,1
67,1
486,1
113,1
314,1
148,1
281,1
229,1
463,1
229,1
84,1
144,1
208,1
285,1
156,1
376,1
137,1
25,1
307,1
231,1
63,1
975,1
202,1
81,1
743,1
164,1
206,1
19,1
426,1
339,1
193,1
150,1
504,1
71,1
175,1
119,1
251,1
164,1
81,1
227,1
399,1
421,1
457,1
38,1
249,1
96,1
397,1
100,1
88,1
272,1
100,1
181,1
108,1
395,1
88,1
913,1
152,1
79,1
27,1
158,1
150,1
915,1
301,1
195,1
285,1
274,1
336,1
75,1
36,1
610,1
59,1
52,1
471,1
77,1
166,1
504,1
251,1
71,1
220,1
231,1
679,1
185,1
6383,1
23,1
112,1
382,1
75,1
451,1
117,1
295,1
1025,1
326,1
61,1
75,1
235,1
127,1
100,1
239,1
536,1
208,1
27,1
496,1
438,1
245,1
131,1
79,1
92,1
216,1
164,1
386,1
21,1
40,1
533,1
83,1
148,1
61,1
341,1
592,1
855,1
100,1
171,1
270,1
21,1
102,1
160,1
34,1
851,1
46,1
247,1
204,1
276,1
204,1
84,1
96,1
160,1
264,1
135,1
112,1
465,1
104,1
204,1
233,1
23,1
36,1
36,1
258,1
392,1
490,1
183,1
36,1
63,1
1015,1
110,1
189,1
100,1
54,1
25,1
573,1
583,1
343,1
65,1
59,1
280,1
34,1
411,1
204,1
162,1
115,1
25,1
146,1
32,1
54,1
88,1
139,1
243,1
19,1
183,1
156,1
330,1
181,1
79,1
214,1
612,1
266,1
36,1
517,1
363,1
108,1
467,1
305,1
233,1
558,1
220,1
86,1
218,1
30,1
318,1
191,1
330,1
963,1
253,1
598,1
54,1
457,1
305,1
633,1
133,1
152,1
112,1
589,1
48,1
142,1
102,1
347,1
3022,1
224,1
878,1
90,1
56,1
106,1
444,1
488,1
61,1
148,1
73,1
73,1
575,1
218,1
4708,1
359,1
54,1
220,1
185,1
197,1
7016,1
121,1
117,1
220,1
612,1
212,1
258,1
338,1
71,1
237,1
677,1
1062,1
160,1
71,1
287,1
855,1
249,1
305,1
34,1
86,1
100,1
322,1
376,1
92,1
36,1
21,1
399,1
293,1
166,1
61,1
92,1
231,1
34,1
61,1
59,1
258,1
104,1
83,1
34,1
592,1
168,1
30,1
334,1
212,1
338,1
139,1
90,1
318,1
241,1
276,1
500,1
645,1
86,1
36,1
506,1
225,1
56,1
164,1
376,1
156,1
140,1
73,1
34,1
110,1
757,1
413,1
351,1
181,1
324,1
156,1
94,1
63,1
81,1
349,1
83,1
206,1
162,1
181,1
75,1
21,1
7619,1
133,1
616,1
523,1
57,1
21,1
278,1
131,1
166,1
581,1
32,1
28,1
48,1
25,1
343,1
463,1
135,1
849,1
84,1
670,1
121,1
214,1
32,1
144,1
523,1
276,1
341,1
349,1
909,1
616,1
473,1
40,1
169,1
1012,1
198,1
50,1
310,1
25,1
40,1
40,1
133,1
108,1
394,1
478,1
150,1
212,1
115,1
762,1
44,1
160,1
320,1
305,1
558,1
100,1
127,1
42,1
222,1
419,1
108,1
121,1
347,1
197,1
602,1
112,1
942,1
598,1
851,1
635,1
403,1
195,1
1182,1
307,1
125,1
264,1
166,1
198,1
56,1
214,1
67,1
328,1
42,1
92,1
90,1
197,1
36,1
262,1
488,1
127,1
312,1
546,1
496,1
150,1
204,1
399,1
419,1
88,1
345,1
189,1
140,1
395,1
28,1
164,1
102,1
19,1
104,1
345,1
204,1
208,1
204,1
747,1
254,1
104,1
227,1
911,1
258,1
336,1
127,1
674,1
281,1
635,1
133,1
395,1
347,1
115,1
48,1
146,1
2740,1
127,1
386,1
144,1
98,1
94,1
602,1
440,1
140,1
34,1
56,1
44,1
372,1
268,1
19,1
755,1
77,1
28,1
637,1
289,1
339,1
293,1
407,1
30,1
264,1
50,1
291,1
137,1
173,1
245,1
61,1
341,1
200,1
256,1
598,1
251,1
44,1
328,1
533,1
32,1
102,1
44,1
92,1
56,1
142,1
575,1
446,1
712,1
173,1
179,1
235,1
63,1
338,1
160,1
185,1
52,1
1089,1
251,1
48,1
303,1
258,1
30,1
48,1
185,1
106,1
372,1
428,1
341,1
253,1
92,1
131,1
119,1
562,1
222,1
40,1
102,1
197,1
38,1
129,1
297,1
113,1
5110,1
46,1
390,1
50,1
92,1
222,1
171,1
664,1
77,1
52,1
46,1
560,1
23,1
706,1
50,1
343,1
921,1
210,1
187,1
247,1
52,1
224,1
436,1
401,1
125,1
57,1
444,1
913,1
102,1
260,1
200,1
2116,1
214,1
164,1
235,1
664,1
239,1
169,1
309,1
683,1
229,1
361,1
382,1
842,1
171,1
643,1
44,1
507,1
28,1
148,1
88,1
562,1
247,1
123,1
117,1
83,1
56,1
46,1
204,1
554,1
48,1
173,1
256,1
139,1
86,1
113,1
287,1
127,1
278,1
152,1
48,1
92,1
21,1
399,1
693,1
131,1
419,1
57,1
44,1
166,1
309,1
79,1
1156,1
86,1
59,1
276,1
200,1
59,1
23,1
83,1
191,1
185,1
1523,1
139,1
218,1
40,1
419,1
193,1
23,1
168,1
61,1
214,1
368,1
1170,1
210,1
303,1
181,1
645,1
96,1
322,1
125,1
88,1
133,1
21,1
776,1
36,1
247,1
318,1
54,1
314,1
668,1
280,1
142,1
54,1
283,1
643,1
54,1
320,1
347,1
102,1
179,1
189,1
309,1
401,1
44,1
158,1
30,1
59,1
629,1
46,1
227,1
185,1
596,1
75,1
276,1
419,1
326,1
411,1
214,1
206,1
27,1
281,1
81,1
94,1
139,1
281,1
67,1
728,1
137,1
428,1
84,1
343,1
446,1
63,1
465,1
125,1
274,1
355,1
117,1
28,1
546,1
681,1
225,1
496,1
40,1
189,1
104,1
121,1
30,1
507,1
4838,1
110,1
229,1
96,1
386,1
146,1
390,1
46,1
21,1
115,1
208,1
225,1
256,1
158,1
413,1
2561,1
125,1
224,1
140,1
148,1
117,1
127,1
365,1
390,1
139,1
384,1
310,1
743,1
50,1
262,1
42,1
28,1
386,1
73,1
208,1
102,1
27,1
399,1
1097,1
61,1
310,1
254,1
67,1
81,1
884,1
322,1
380,1
164,1
245,1
637,1
21,1
61,1
28,1
538,1
63,1
71,1
84,1
112,1
36,1
67,1
759,1
245,1
177,1
274,1
249,1
436,1
115,1
69,1
181,1
241,1
687,1
235,1
579,1
239,1
92,1
104,1
139,1
88,1
743,1
164,1
187,1
171,1
1081,1
490,1
46,1
606,1
202,1
131,1
106,1
432,1
318,1
283,1
34,1
100,1
117,1
264,1
353,1
347,1
104,1
641,1
415,1
689,1
81,1
83,1
314,1
249,1
102,1
125,1
295,1
63,1
1168,1
117,1
177,1
46,1
413,1
152,1
349,1
48,1
239,1
882,1
154,1
30,1
189,1
100,1
531,1
283,1
318,1
30,1
117,1
243,1
168,1
225,1
