groupsCovered,groupsCoveredWithoutDefaultBitmap,groupSizeDist,placementDist,placementNumHostsPerLeaf,seed,podsAlgorithm,podsNumBitmaps,podsNumNodesPerBitmap,podsRedundancyPerBitmap,podsNumRules
908111,872210,uniform,colocate-uniform,uniform,0,exact-match,1,3,0,10000
998466,998466,wve,colocate-colocate-uniform,12,2,random-fuzzy-match,3,3,12,10000
977071,977071,uniform,colocate-colocate-uniform,12,0,exact-match,1,3,0,10000
977071,977071,uniform,colocate-colocate-uniform,12,0,exact-match,1,3,0,64000
992172,992172,uniform,colocate-colocate-uniform,12,0,exact-match,2,3,0,10000
992172,992172,uniform,colocate-colocate-uniform,12,0,exact-match,2,3,0,64000
998500,998500,uniform,colocate-colocate-uniform,12,0,exact-match,3,3,0,10000
977071,977071,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,0,10000
977071,977071,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,0,64000
978869,978869,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,12,10000
978869,978869,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,12,64000
977473,977473,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,6,10000
992172,992172,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,0,10000
992172,992172,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,0,64000
992277,992277,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,12,10000
992277,992277,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,12,64000
992174,992174,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,10000
998500,998500,uniform,colocate-colocate-uniform,12,0,exact-match,3,3,0,64000
977473,977473,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,6,64000
992174,992174,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,6,64000
998500,998500,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,3,3,0,10000
998500,998500,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,3,3,6,64000
998550,998550,uniform,colocate-colocate-uniform,12,1,exact-match,3,3,0,64000
992555,992555,uniform,colocate-colocate-uniform,12,1,exact-match,1,3,0,10000
992555,992555,uniform,colocate-colocate-uniform,12,1,exact-match,1,3,0,64000
998550,998550,uniform,colocate-colocate-uniform,12,1,exact-match,2,3,0,10000
998550,998550,uniform,colocate-colocate-uniform,12,1,exact-match,2,3,0,64000
998550,998550,uniform,colocate-colocate-uniform,12,1,exact-match,3,3,0,10000
992555,992555,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,1,3,0,10000
992555,992555,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,1,3,0,64000
994016,994016,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,1,3,12,10000
994016,994016,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,1,3,12,64000
993451,993451,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,1,3,6,10000
998550,998550,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,0,10000
998550,998550,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,0,64000
998550,998550,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,12,10000
998550,998550,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,12,64000
998550,998550,uniform,colocate-colocate-uniform,12,1,random-fuzzy-match,2,3,6,10000
980118,979963,uniform,colocate-colocate-uniform,12,2,exact-match,1,3,0,10000
979963,979963,uniform,colocate-colocate-uniform,12,2,exact-match,1,3,0,64000
998466,998466,uniform,colocate-colocate-uniform,12,2,exact-match,2,3,0,10000
998466,998466,uniform,colocate-colocate-uniform,12,2,exact-match,2,3,0,64000
998466,998466,uniform,colocate-colocate-uniform,12,2,exact-match,3,3,0,10000
979963,979963,uniform,colocate-colocate-uniform,12,2,random-fuzzy-match,1,3,0,10000
979963,979963,uniform,colocate-colocate-uniform,12,2,random-fuzzy-match,1,3,0,64000
982525,982525,uniform,colocate-colocate-uniform,12,2,random-fuzzy-match,1,3,12,10000
982525,982525,uniform,colocate-colocate-uniform,12,2,random-fuzzy-match,1,3,12,64000
981759,981759,uniform,colocate-colocate-uniform,12,2,random-fuzzy-match,1,3,6,10000
998466,998466,uniform,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,0,10000
998466,998466,uniform,colocate-colocate-uniform,12,2,random-fuzzy-match,2,3,0,64000
