numRules,groupSizeDist,placementDist,placementNumHostsPerLeaf,seed,podsAlgorithm,podsNumBitmaps,podsNumNodesPerBitmap,podsRedundancyPerBitmap,podsNumRules
1746,uniform,colocate-uniform,uniform,0,exact-match,1,3,0,10000
10000,uniform,colocate-uniform,uniform,0,exact-match,1,3,0,10000
5113,uniform,colocate-uniform,uniform,0,exact-match,1,3,0,10000
3261,uniform,colocate-uniform,uniform,0,exact-match,1,3,0,10000
10000,uniform,colocate-uniform,uniform,0,exact-match,1,3,0,10000
10000,uniform,colocate-uniform,uniform,0,exact-match,1,3,0,10000
10000,uniform,colocate-uniform,uniform,0,exact-match,1,3,0,10000
10000,uniform,colocate-uniform,uniform,0,exact-match,1,3,0,10000
10000,uniform,colocate-uniform,uniform,0,exact-match,1,3,0,10000
5925,uniform,colocate-uniform,uniform,0,exact-match,1,3,0,10000
10000,uniform,colocate-uniform,uniform,0,exact-match,1,3,0,10000
10000,uniform,colocate-uniform,uniform,0,exact-match,1,3,0,10000
0,wve,colocate-colocate-uniform,12,2,random-fuzzy-match,3,3,12,10000
0,wve,colocate-colocate-uniform,12,2,random-fuzzy-match,3,3,12,10000
0,wve,colocate-colocate-uniform,12,2,random-fuzzy-match,3,3,12,10000
0,wve,colocate-colocate-uniform,12,2,random-fuzzy-match,3,3,12,10000
0,wve,colocate-colocate-uniform,12,2,random-fuzzy-match,3,3,12,10000
0,wve,colocate-colocate-uniform,12,2,random-fuzzy-match,3,3,12,10000
0,wve,colocate-colocate-uniform,12,2,random-fuzzy-match,3,3,12,10000
0,wve,colocate-colocate-uniform,12,2,random-fuzzy-match,3,3,12,10000
0,wve,colocate-colocate-uniform,12,2,random-fuzzy-match,3,3,12,10000
0,wve,colocate-colocate-uniform,12,2,random-fuzzy-match,3,3,12,10000
0,wve,colocate-colocate-uniform,12,2,random-fuzzy-match,3,3,12,10000
0,wve,colocate-colocate-uniform,12,2,random-fuzzy-match,3,3,12,10000
64,uniform,colocate-colocate-uniform,12,0,exact-match,1,3,0,10000
512,uniform,colocate-colocate-uniform,12,0,exact-match,1,3,0,10000
6938,uniform,colocate-colocate-uniform,12,0,exact-match,1,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,exact-match,1,3,0,10000
511,uniform,colocate-colocate-uniform,12,0,exact-match,1,3,0,10000
7018,uniform,colocate-colocate-uniform,12,0,exact-match,1,3,0,10000
941,uniform,colocate-colocate-uniform,12,0,exact-match,1,3,0,10000
5692,uniform,colocate-colocate-uniform,12,0,exact-match,1,3,0,10000
538,uniform,colocate-colocate-uniform,12,0,exact-match,1,3,0,10000
2435,uniform,colocate-colocate-uniform,12,0,exact-match,1,3,0,10000
3108,uniform,colocate-colocate-uniform,12,0,exact-match,1,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,exact-match,1,3,0,10000
64,uniform,colocate-colocate-uniform,12,0,exact-match,1,3,0,64000
512,uniform,colocate-colocate-uniform,12,0,exact-match,1,3,0,64000
6938,uniform,colocate-colocate-uniform,12,0,exact-match,1,3,0,64000
0,uniform,colocate-colocate-uniform,12,0,exact-match,1,3,0,64000
511,uniform,colocate-colocate-uniform,12,0,exact-match,1,3,0,64000
7018,uniform,colocate-colocate-uniform,12,0,exact-match,1,3,0,64000
941,uniform,colocate-colocate-uniform,12,0,exact-match,1,3,0,64000
5692,uniform,colocate-colocate-uniform,12,0,exact-match,1,3,0,64000
538,uniform,colocate-colocate-uniform,12,0,exact-match,1,3,0,64000
2435,uniform,colocate-colocate-uniform,12,0,exact-match,1,3,0,64000
3108,uniform,colocate-colocate-uniform,12,0,exact-match,1,3,0,64000
0,uniform,colocate-colocate-uniform,12,0,exact-match,1,3,0,64000
0,uniform,colocate-colocate-uniform,12,0,exact-match,2,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,exact-match,2,3,0,10000
5642,uniform,colocate-colocate-uniform,12,0,exact-match,2,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,exact-match,2,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,exact-match,2,3,0,10000
498,uniform,colocate-colocate-uniform,12,0,exact-match,2,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,exact-match,2,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,exact-match,2,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,exact-match,2,3,0,10000
188,uniform,colocate-colocate-uniform,12,0,exact-match,2,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,exact-match,2,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,exact-match,2,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,exact-match,2,3,0,64000
0,uniform,colocate-colocate-uniform,12,0,exact-match,2,3,0,64000
5642,uniform,colocate-colocate-uniform,12,0,exact-match,2,3,0,64000
0,uniform,colocate-colocate-uniform,12,0,exact-match,2,3,0,64000
0,uniform,colocate-colocate-uniform,12,0,exact-match,2,3,0,64000
498,uniform,colocate-colocate-uniform,12,0,exact-match,2,3,0,64000
0,uniform,colocate-colocate-uniform,12,0,exact-match,2,3,0,64000
0,uniform,colocate-colocate-uniform,12,0,exact-match,2,3,0,64000
0,uniform,colocate-colocate-uniform,12,0,exact-match,2,3,0,64000
188,uniform,colocate-colocate-uniform,12,0,exact-match,2,3,0,64000
0,uniform,colocate-colocate-uniform,12,0,exact-match,2,3,0,64000
0,uniform,colocate-colocate-uniform,12,0,exact-match,2,3,0,64000
0,uniform,colocate-colocate-uniform,12,0,exact-match,3,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,exact-match,3,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,exact-match,3,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,exact-match,3,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,exact-match,3,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,exact-match,3,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,exact-match,3,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,exact-match,3,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,exact-match,3,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,exact-match,3,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,exact-match,3,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,exact-match,3,3,0,10000
30,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,0,10000
1303,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,0,10000
6405,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,0,10000
328,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,0,10000
7015,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,0,10000
410,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,0,10000
2219,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,0,10000
624,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,0,10000
5276,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,0,10000
4147,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,0,10000
30,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,0,64000
1303,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,0,64000
6405,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,0,64000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,0,64000
328,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,0,64000
7015,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,0,64000
410,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,0,64000
2219,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,0,64000
624,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,0,64000
5276,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,0,64000
4147,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,0,64000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,0,64000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,12,10000
791,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,12,10000
6407,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,12,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,12,10000
164,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,12,10000
6963,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,12,10000
385,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,12,10000
2202,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,12,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,12,10000
5175,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,12,10000
3771,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,12,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,12,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,12,64000
791,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,12,64000
6407,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,12,64000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,12,64000
164,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,12,64000
6963,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,12,64000
385,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,12,64000
2202,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,12,64000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,12,64000
5175,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,12,64000
3771,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,12,64000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,12,64000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,6,10000
1153,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,6,10000
6404,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,6,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,6,10000
241,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,6,10000
7024,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,6,10000
410,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,6,10000
2205,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,6,10000
512,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,6,10000
5260,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,6,10000
4143,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,6,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,1,3,6,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,0,10000
653,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,0,10000
2920,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,0,10000
2755,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,0,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,0,64000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,0,64000
653,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,0,64000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,0,64000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,0,64000
2920,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,0,64000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,0,64000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,0,64000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,0,64000
2755,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,0,64000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,0,64000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,0,64000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,12,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,12,10000
657,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,12,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,12,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,12,10000
2898,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,12,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,12,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,12,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,12,10000
2668,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,12,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,12,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,12,10000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,12,64000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,12,64000
657,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,12,64000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,12,64000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,12,64000
2898,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,12,64000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,12,64000
0,uniform,colocate-colocate-uniform,12,0,random-fuzzy-match,2,3,12,64000
